X,I,T,S
1000,sssp_std_priority_queue,817,1996
2000,sssp_std_priority_queue,1164,2360
3000,sssp_std_priority_queue,1210,2476
4000,sssp_std_priority_queue,1348,2568
5000,sssp_std_priority_queue,1514,2680
6000,sssp_std_priority_queue,1647,2736
7000,sssp_std_priority_queue,1771,2900
8000,sssp_std_priority_queue,1859,3016
9000,sssp_std_priority_queue,2036,3020
10000,sssp_std_priority_queue,2162,3116
11000,sssp_std_priority_queue,2292,3308
12000,sssp_std_priority_queue,2400,3400
13000,sssp_std_priority_queue,2557,3508
14000,sssp_std_priority_queue,2737,3620
15000,sssp_std_priority_queue,2808,3692
16000,sssp_std_priority_queue,3042,3700
17000,sssp_std_priority_queue,3088,3828
18000,sssp_std_priority_queue,3214,3828
19000,sssp_std_priority_queue,3455,4084
20000,sssp_std_priority_queue,3646,4228
21000,sssp_std_priority_queue,3749,4240
22000,sssp_std_priority_queue,3834,4276
23000,sssp_std_priority_queue,3908,4324
24000,sssp_std_priority_queue,4068,4440
25000,sssp_std_priority_queue,4176,4708
26000,sssp_std_priority_queue
